District,TI Region,Address,Geo Coordinates
Galle,Baddegama,"Sigithi’, Boralukada, Baddegama","6.1562234, 80.19346"
Galle,Nakiyadeniya,"No: 13th mile post, Thellabura, Nakiyadeniya","6.1095863, 80.3347061"
Galle,Thawalama,"Malgalla, Thalangalla, Thawalama","6.3092213, 80.3572581"
Galle,Harangala,"“Jaya Geeth”, Yatalamaththa, Galle","6.1724483, 80.2833211"
Galle,Akmeemana,"No.122, Lechchami B Wattha, Ihalagoda, Akmeemana","6.0719564, 80.2731695"
Matara,Akuressa,"Mahakurundu watte, Matara road, Akuressa","6.0891333, 80.4742671"
Matara,Urubokka,"“Sampath”, Katuwana road, Urubokka","6.2966536, 80.6426425"
Matara,Deniyaya,"Udu Kumbura hena, Miriswatte rd, Deniyaya","6.3500997, 80.5608495"
Matara,Morawaka,"Welegedara Watte, Morawaka","6.2613712, 80.489886"
Matara,Kotapola,"Gamage hardware, Kotapola","6.2782104, 80.5434145"
Baduraliya,Ingiriya,"Elsmore, 4th Lane, Panadura Road, Ingiriya","6.7418953, 80.1645251"
Baduraliya,Elpitiya,"No:4E, Kimbulawala, Aluthgama Rd, Elpitiya","6.2989458, 80.1615876"
Baduraliya,Bellana,"Kithulgoda, Bellana","6.5181894, 80.1724451"
Bandarawela,Haliela,"No:148/15 Station road, Haliela","6.9553272, 81.0313117"
Badarawela,Passara,"No:7, Kanuwa, Palgahatanna, Passara","6.9522551, 81.1173108"
Bandarawela,Bandarawela,"Sri Lanka Tea Board, Regional Office, Vishaka Road, Bandarawela","6.8417568, 80.9868795"
Bandarawela,Nugathalawa,"Sakunika, Girabe, Nugathalawa","6.9126473, 80.8808291"
Rathnapura,Palmadulla,"Near the Palmadulla Police Station, Ganegama, Palmadulla","6.6330531, 80.5183865"
Rathnapura,Balangoda,"Weeragamini mawatha, Ellapola, Balangoda","6.6317496, 80.6851293"
Rathnapura,Ruwanwella,"No:297/3, Kiriwana Road, Wandala, Ruwanwella","7.0357392, 80.2578551"
Rathnapura,Rakwana,"No:33/10, Telecom Road, Rakwana","6.4748483, 80.6083121"
Rathnapura,Hidellena,"No:68, Muththettupita, Hidellena","6.7184073, 80.3755081"
Rathnapura,Kalawana,"“Malrenu”, Raddalla Road, Manana, Kalawana","6.5271623, 80.3962893"
Gampola,Ethgala,"No:800/2/1, Nawalapitiya Road, Ethgala","7.1355192, 80.567659"
Gampola,Matale,FJRR+5MG Matale,"7.4904434, 80.6391298"
Gampola,Muruthalawa,"No:48d, Gannoruwa, Muruthalawa","7.2807056, 80.5912252"
Gampola,Gampola,"No:266/50, 11th lane, Jayamalapura, Gampola","7.1461372, 80.5641141"
Gampola,Katugasthota,"No:170/6, Samagi MW, Ranawana Rd, Katugasthota","7.3336213, 80.6126381"
Gampola,Handessa,"No:08/02, Naranwala, Handessa","7.2349809, 80.5760761"
Nuwaraeliya,Walapane,"No:171/1, Watarakgoda, Wathumulla, Walapane","7.1000013, 80.8652671"
Nuwaraeliya,Hatton,"No.2, Salvadora building, Fruit Hill, Hatton","6.8968193, 80.5884021"
Nuwaraeliya,Lindula,"No:350/1/A, Nuwaraeliya road, Lindula","6.9289833, 80.6817111"
Nuwaraeliya,Ginigathhena,"Delhena Road, Ginigathhena","6.9878575, 80.4910796"
Nuwaraeliya,Harangala,"Shawanthi, Harangalagama, Harangala","7.0512095, 80.5883508"
